Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
BOUNDARY RD & MARINE DR & SE MARINE DR,Casualty,VANCOUVER,2020,8,49.208177,-123.023537
E KENT AVE N & FRASER ST,Casualty,VANCOUVER,2016,4,49.208185,-123.091176
GLADSTONE ST & SE MARINE DR,Casualty,VANCOUVER,2016,3,49.208294,-123.061935
CHESTER ST & E KENT AVE N,Casualty,VANCOUVER,2016,1,49.208346,-123.089265
HEATHER ST & W 70TH AVE,Casualty,VANCOUVER,2016,3,49.208373,-123.124218
HEATHER ST & W 70TH AVE,Casualty,VANCOUVER,2020,1,49.208373,-123.124218
LAUREL ST & W 70TH AVE,Casualty,VANCOUVER,2016,3,49.208411,-123.126154
FREMLIN ST & W 70TH AVE,Casualty,VANCOUVER,2016,3,49.208432,-123.127511
OAK ST & W 70TH AVE,Casualty,VANCOUVER,2020,18,49.208473,-123.130257
OSLER ST & W 70TH AVE,Casualty,VANCOUVER,2016,3,49.208491,-123.131606
OSLER ST & W 70TH AVE,Casualty,VANCOUVER,2020,2,49.208491,-123.131606
GRANVILLE ST & W 70TH AVE,Casualty,VANCOUVER,2020,14,49.208534,-123.140534
CARTIER ST & W 70TH AVE,Casualty,VANCOUVER,2016,1,49.208593,-123.13774
ANGUS DR & SW MARINE DR,Casualty,VANCOUVER,2016,3,49.209472,-123.148711
ANGUS DR & SW MARINE DR,Casualty,VANCOUVER,2020,2,49.209472,-123.148711
BORDEN ST & E KENT AVE N,Casualty,VANCOUVER,2016,1,49.209533,-123.073999
CAMBIE ST & SW MARINE DR & TURNING LANE,Casualty,VANCOUVER,2020,21,49.210132,-123.117149
GRANVILLE ST & W 68TH AVE,Casualty,VANCOUVER,2016,3,49.210514,-123.140462
HARRISON DR & VICTORIA DR,Casualty,VANCOUVER,2016,1,49.210625,-123.066092
PRINCE EDWARD ST & SE MARINE DR,Casualty,VANCOUVER,2016,5,49.210855,-123.098155
SW MARINE DR & YUKON ST,Casualty,VANCOUVER,2020,9,49.211004,-123.114891
